Ad asset report
"September 20, 2025 - October 3, 2025"
Asset status,Asset,Asset type,Level,Status,Status reason,Source,Last updated,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions
Enabled,https://tpc.googlesyndication.com/simgad/11068140344219172722,Image,Campaign,Not eligible,Disapproved,Advertiser,"Sep 30, 2025, 11:35 PM",0,0, --,USD,0,0.00,0.00
Enabled,https://tpc.googlesyndication.com/simgad/1125329952904047854,Image,Campaign,Not eligible,Disapproved,Advertiser,"Sep 30, 2025, 11:35 PM",0,0, --,USD,0,0.00,0.00
Enabled,https://tpc.googlesyndication.com/simgad/7018672722503079371,Business logo,Campaign,Eligible,,Advertiser,"Sep 22, 2025, 9:16 AM",39,448,8.71%,USD,7.81,304.74,3.00
Enabled,https://tpc.googlesyndication.com/simgad/9145741965939466197,Image,Campaign,Not eligible,Disapproved,Advertiser,"Sep 23, 2025, 8:12 PM",0,0, --,USD,0,0.00,0.00
Enabled,"View Calculators
https://www.capitalbridgesolutions.com/calculators",Sitelink,Campaign,Eligible,,Advertiser,"Sep 22, 2025, 8:46 AM",55,659,8.35%,USD,6.44,354.45,2.00
Enabled,Capital Bridge Solutions,Business name,Campaign,Pending,Under review,Advertiser,"Sep 22, 2025, 8:43 AM",0,0, --,USD,0,0.00,0.00
Enabled,Fast DSCR Loan Approval,Lead form,Campaign,Eligible,,Advertiser,"Sep 20, 2025, 8:32 PM",38,578,6.57%,USD,11.54,438.49,4.00
Enabled,(949) 339-3555,Call,Campaign,Eligible,,Advertiser,"Sep 21, 2025, 10:31 AM",5,114,4.39%,USD,4.36,21.78,1.00
Enabled,"Get Started
https://www.capitalbridgesolutions.com/get-started",Sitelink,Campaign,Eligible,,Advertiser,"Sep 22, 2025, 8:46 AM",46,579,7.94%,USD,4.60,211.40,2.00
Enabled,Up to 85% LTV,Callout,Campaign,Eligible,,Advertiser,"Sep 30, 2025, 11:21 PM",8,91,8.79%,USD,11.57,92.53,1.00
Enabled,"Investor Analysis
https://www.capitalbridgesolutions.com/investor-analysis",Sitelink,Campaign,Limited,Approved (limited),Advertiser,"Sep 22, 2025, 8:46 AM",39,552,7.07%,USD,5.19,202.45,0.00
Enabled,No Income Verification,Callout,Campaign,Eligible,,Advertiser,"Sep 30, 2025, 11:21 PM",4,73,5.48%,USD,7.47,29.88,1.00
Enabled,Rates From 5.99%,Callout,Campaign,Eligible,,Advertiser,"Sep 30, 2025, 11:21 PM",3,65,4.62%,USD,11.83,35.49,0.00
Enabled,"About Us
https://www.capitalbridgesolutions.com/about",Sitelink,Campaign,Eligible,,Advertiser,"Sep 22, 2025, 8:46 AM",50,685,7.30%,USD,5.96,298.24,2.00
Enabled,No Tax Returns Required,Callout,Campaign,Eligible,,Advertiser,"Sep 30, 2025, 11:21 PM",5,39,12.82%,USD,6.73,33.64,1.00
Enabled,https://tpc.googlesyndication.com/simgad/1496972346267772350,Business logo,Account,Eligible,,Advertiser,"Sep 23, 2025, 8:02 PM",0,0, --,USD,0,0.00,0.00
