Location report
"September 20, 2025 - October 3, 2025"
Location,Bid adj.,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
"Tulare County, California, United States", --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
"Monterey County, California, United States", --,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"San Bernardino County, California, United States", --,10,93,10.75%,USD,9.07,90.69,0.00%,0.00,0.00
"Los Angeles County, California, United States", --,28,492,5.69%,USD,6.72,188.22,7.14%,2.00,94.11
"Santa Clara County, California, United States", --,18,188,9.57%,USD,4.63,83.38,0.00%,0.00,0.00
"Sacramento County, California, United States", --,0,4,0.00%,USD,0,0.00,0.00%,0.00,0.00
"San Luis Obispo County, California, United States", --,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Ventura County, California, United States", --,1,37,2.70%,USD,0.31,0.31,0.00%,0.00,0.00
"San Francisco, California, United States", --,2,6,33.33%,USD,5.26,10.51,0.00%,0.00,0.00
"Merced County, California, United States", --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
"San Joaquin County, California, United States", --,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"San Benito County, California, United States", --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
"Stanislaus County, California, United States", --,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Mariposa County, California, United States", --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
"Madera County, California, United States", --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
"Napa County, California, United States", --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
"Contra Costa County, California, United States", --,0,6,0.00%,USD,0,0.00,0.00%,0.00,0.00
"San Mateo County, California, United States", --,1,2,50.00%,USD,0.34,0.34,0.00%,0.00,0.00
"Kings County, California, United States", --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
"Alameda County, California, United States", --,1,3,33.33%,USD,9.35,9.35,0.00%,0.00,0.00
"Santa Barbara County, California, United States", --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
"Santa Cruz County, California, United States", --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
"Orange County, California, United States", --,9,241,3.73%,USD,11.60,104.42,11.11%,1.00,104.42
"Solano County, California, United States", --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
"Kern County, California, United States", --,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"San Diego County, California, United States", --,10,159,6.29%,USD,6.79,67.90,10.00%,1.00,67.90
"Sonoma County, California, United States", --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
"Marin County, California, United States", --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
"Fresno County, California, United States", --,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Riverside County, California, United States", --,1,4,25.00%,USD,12.58,12.58,0.00%,0.00,0.00
,Total: Locations,81,"1,241",6.53%,USD,7.01,567.70,4.94%,4.00,141.93
,Total: Other locations,0,0, --,USD,0,0.00,0.00%,0.00,0.00
,Total: Campaign,81,"1,241",6.53%,USD,7.01,567.70,4.94%,4.00,141.93
