Search keyword report
"September 20, 2025 - October 3, 2025"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Currency code,Max. CPC,Final URL,Interactions,Interaction rate,Avg. cost,Cost,Impr.,Clicks,Conv. rate,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.
Enabled,balloon mortgage due and can t refinance,Broad match,Capital Bridge Solutions,DSCR Loans,Eligible,,USD, --,,0, --,0,0.00,0,0,0.00%,0.00,0.00,0.00,0,0.00
Enabled,self employed mortgage lenders,Broad match,Capital Bridge Solutions,DSCR Loans,Eligible,,USD, --,,0, --,0,0.00,0,0,0.00%,0.00,0.00,0.00,0,0.00
Enabled,getting a mortgage self employed,Broad match,Capital Bridge Solutions,DSCR Loans,Eligible,,USD, --,,0, --,0,0.00,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,debt service coverage ratio calculator,Broad match,Capital Bridge Solutions,DSCR Loans,Paused,paused,USD, --,,0, --,0,0.00,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,private money,Broad match,Capital Bridge Solutions,DSCR Loans,Paused,paused,USD, --,,2,50.00%,10.85,21.69,4,2,0.00%,0.00,0.00,0.00,10.85,0.00
Paused,hard lending loan,Broad match,Capital Bridge Solutions,DSCR Loans,Paused,paused,USD, --,,0,0.00%,0,0.00,1,0,0.00%,0.00,0.00,0.00,0,0.00
Enabled,self employed mortgage broker,Broad match,Capital Bridge Solutions,DSCR Loans,Eligible,,USD, --,,0,0.00%,0,0.00,1,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,loan hard money,Broad match,Capital Bridge Solutions,DSCR Loans,Paused,paused,USD, --,,0, --,0,0.00,0,0,0.00%,0.00,0.00,0.00,0,0.00
Enabled,self employed home loan,Broad match,Capital Bridge Solutions,DSCR Loans,Eligible,,USD, --,,0, --,0,0.00,0,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,debt coverage ratio calculator,Broad match,Capital Bridge Solutions,DSCR Loans,Paused,paused,USD, --,,0, --,0,0.00,0,0,0.00%,0.00,0.00,0.00,0,0.00
Enabled,dscr loan,Broad match,Capital Bridge Solutions,DSCR Loans,Eligible,,USD, --,,30,6.52%,7.04,211.35,460,30,6.67%,2.00,0.01,2.00,7.04,105.67
Paused,hard money,Broad match,Capital Bridge Solutions,DSCR Loans,Paused,paused,USD, --,,2,33.33%,15.58,31.16,6,2,0.00%,0.00,0.00,0.00,15.58,0.00
Enabled,dscr mortgage,Broad match,Capital Bridge Solutions,DSCR Loans,Eligible,,USD, --,,0, --,0,0.00,0,0,0.00%,0.00,0.00,0.00,0,0.00
