Search terms insight report
"September 20, 2025 - October 3, 2025 compared to September 6, 2025 - September 19, 2025"
Search category,Search subcategory,Search terms,Impressions,Impressions (Change %),Clicks,Clicks (Change %),Conversions,Conversions (Change %),Conv. value,Conv. value (Change %),CTR,CTR (Change %),Conv. rate,Conv. rate (Change %),Search volume,Search volume (Change %)
private lenders,Subcategory - Total, --,1,∞,1,∞,0.00,0.00%,0.00,0.00%,100.00%,0.00%,0.00%,0.00%,"1,000 - 10,000",-9.00%
private lenders,Uncategorized search terms, --,0,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
Uncategorized search terms,Subcategory - Total, --,"1,128",∞,68,∞,4.00,∞,3.00,∞,6.03%,0.00%,5.88%,0.00%, --, --
online lenders,Subcategory - Total, --,2,∞,1,∞,0.00,0.00%,0.00,0.00%,50.00%,0.00%,0.00%,0.00%,"10,000 - 100,000",12.00%
online lenders,Uncategorized search terms, --,0,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
dscr loan requirements,Subcategory - Total, --,7,∞,2,∞,0.00,0.00%,0.00,0.00%,28.57%,0.00%,0.00%,0.00%,"1,000 - 10,000",9.00%
dscr loan requirements,Uncategorized search terms, --,0,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
how does a dscr loan work,Subcategory - Total, --,68,∞,3,∞,0.00,0.00%,0.00,0.00%,4.41%,0.00%,0.00%,0.00%,"10,000 - 100,000",4.00%
how does a dscr loan work,Uncategorized search terms, --,0,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
dscr loan california,Subcategory - Total, --,29,∞,2,∞,0.00,0.00%,0.00,0.00%,6.90%,0.00%,0.00%,0.00%,"10,000 - 100,000",9.00%
dscr loan california,Uncategorized search terms, --,0,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
hard money lenders near me,Subcategory - Total, --,1,∞,1,∞,0.00,0.00%,0.00,0.00%,100.00%,0.00%,0.00%,0.00%,"1,000 - 10,000",13.00%
hard money lenders near me,Uncategorized search terms, --,0,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
hard money loan rates,Subcategory - Total, --,2,∞,1,∞,0.00,0.00%,0.00,0.00%,50.00%,0.00%,0.00%,0.00%,"1,000 - 10,000",-10.00%
hard money loan rates,Uncategorized search terms, --,0,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
california lenders,Subcategory - Total, --,2,∞,1,∞,0.00,0.00%,0.00,0.00%,50.00%,0.00%,0.00%,0.00%,"100 - 1,000",-20.00%
california lenders,Uncategorized search terms, --,0,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
rental loans,Subcategory - Total, --,1,∞,1,∞,0.00,0.00%,0.00,0.00%,100.00%,0.00%,0.00%,0.00%,"1,000 - 10,000",19.00%
rental loans,Uncategorized search terms, --,0,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
