Search terms report
"September 20, 2025 - October 3, 2025"
Search term,Match type,Added/Excluded,Campaign,Ad group,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
lakewood finance loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loans california,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
cascade mortgage capital,AI Max,None,Capital Bridge Solutions,DSCR Loans,3,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
nationwide lending service irvine california,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
construction loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,4,2,50.00%,USD,0.39,0.77,Search,0.00%,0.00,0.00
mortgage loan officer near me,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
private lending real estate,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridge capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money lender,Phrase match,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,1.33,1.33,Search,0.00%,0.00,0.00
loan factory inc,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to get business loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
guild mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
warehouse line of credit for private lender,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bpl lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
investment properties loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
pike lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to get home loan pre approval,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
the lender,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage lending california,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
home loans fl,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
residential transition loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
spreo capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridge loan financial inc,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
business loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,3,1,33.33%,USD,0.34,0.34,Search,0.00%,0.00,0.00
private mortgage lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money lenders kansas city,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
fix and flip financing,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
home flip loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
